date,poster_id,post_id,reactions,link,comments,domain,shares,share_id,has_images,video_id,institution,interest,publication
2013-02-13 14:02:00,627069116,152587961564862,0,http://www.yle.fi/puhe/ohjelmat/jari_sarasvuo/jari_sarasvuo_5408.html,0,www.yle.fi,0,,False,,go,public,story
2013-02-18 16:16:00,1490515946,10200585449987293,0,,0,,0,,False,,,,
2014-07-24 16:46:29,100000707394276,489110047889696,12,,0,,0,,True,,,,
2014-08-20 10:37:00,100006629673106,1536475186583456,0,http://www.marmai.fi/uutiset/sanoman+exjohtajat+perustivat+sisaltoyrityksen/a2261412,0,www.marmai.fi,0,,True,,,,
2014-11-22 20:39:00,100006629673106,1581349605429347,0,,0,,0,,False,,,,
2015-04-18 23:14:06,586688216,616662425134457,7,,0,,0,,True,,,,
2015-04-19 07:45:44,100000707394276,616945188439514,8,http://otsokivekas.fi/2015/04/sosiaaliturvamme-rakentaa-luokkayhteiskuntaa/,0,otsokivekas.fi,0,,True,,personal,political,story
2015-04-19 09:54:59,100000707394276,616975135103186,30,,0,,5,,True,,,,
2015-04-19 18:30:07,100000707394276,617167861750580,4,https://secondbestworld.wordpress.com/2015/03/20/vaalikauden-tilinpaatos-perusturva-tuloerot-ja-kannustinloukut/,1,secondbestworld.wordpress.com,0,,True,,personal,,story
2015-04-20 10:53:48,100000707394276,617485191718847,1,http://www.terve.fi/terveydenhuolto/80588-thl-koyhien-sairaalajaksot-tulevat-kalliimmaksi-kuin-varakkaiden,0,www.terve.fi,0,,True,,private,business,story
2015-04-21 06:27:09,100000707394276,617920405008659,3,http://wapo.st/1F6hK2o,0,wapo.st,0,,True,,private,business,story
2015-04-21 08:26:55,100000707394276,617950938338939,9,,5,,2,,True,,,,
2015-04-22 14:38:43,100000610633083,618536838280349,3,http://yle.fi/uutiset/brittiprofessori_vanhuspolitiikka_on_viime_vuosisadalta/7803486,0,yle.fi,0,,True,,go,public,story
2015-04-23 09:10:11,100000707394276,618874238246609,3,http://www.isqols.org/event/quality-of-life-2015-human-and-ecosystems-well-being/,0,www.isqols.org,0,,True,,,,
2015-04-23 11:07:31,1163965000,618896844911015,0,http://worldsuffering.org/,0,worldsuffering.org,0,,True,,,,
2015-04-23 22:10:47,100000707394276,619082591559107,5,http://ideas.ted.com/why-we-shouldnt-judge-a-country-by-its-gdp/,0,ideas.ted.com,0,,True,,,,
2015-04-24 08:26:49,539849084,619255698208463,2,http://opinionator.blogs.nytimes.com/2015/04/23/inequalities-we-can-live-with/?_r=0,0,opinionator.blogs.nytimes.com,0,,True,,private,business,story
2015-04-24 15:09:56,100000707394276,619331881534178,1,http://www.talouselama.fi/uutiset/heita+on+suomessa+valtava+maara++yhta+koyhia+ei+loydy+koko+lansieuroopasta/a2303110,0,www.talouselama.fi,0,,True,,private,business,story
2015-04-25 08:05:56,100000707394276,619649424835757,11,http://www.ts.fi/mielipiteet/kolumnit/761508/Kalliita+neuvoja+valeasiantuntijoilta,1,www.ts.fi,0,,True,,private,business,story
2015-04-25 19:05:25,100000707394276,619811828152850,2,http://worldhappiness.report/,4,worldhappiness.report,0,,True,,,,
2015-04-25 22:11:52,586688216,619890218145011,1,http://gu.com/p/47z5b/sfb,0,gu.com,0,,True,,private,business,story
2015-04-26 07:35:40,100000707394276,620074491459917,18,,0,,0,,True,,,,
